Quaternary,Quat_code
J40A,9040001
J40B,9040002
J40C,9040003
J40D,9040004
J40E,9040005
K10A,10010001
K10B,10010002
K10C,10010003
K10D,10010004
K10E,10010005
K10F,10010006
K20A,10020001
K30A,10030001
K30B,10030002
K30C,10030003
K30D,10030004
K40A,10040001
K40B,10040002
K40C,10040003
K40D,10040004
K40E,10040005
K50A,10050001
K50B,10050002
K60A,10060001
K60B,10060002
K60C,10060003
K60D,10060004
K60E,10060005
K60F,10060006
K60G,10060007
K70A,10070001
K70B,10070002
K80A,10080001
K80B,10080002
K80C,10080003
K80D,10080004
K80E,10080005
K80F,10080006
K90A,10090001
K90B,10090002
K90C,10090003
K90D,10090004
K90E,10090005
K90F,10090006
K90G,10090007
L11A,11010101
L11B,11010102
L11C,11010103
L11D,11010104
L11E,11010105
L11F,11010106
L11G,11010107
L12A,11010201
L12B,11010202
L12C,11010203
L12D,11010204
L21A,11020101
L21B,11020102
L21C,11020103
L21D,11020104
L21E,11020105
L21F,11020106
L22A,11020201
L22B,11020202
L22C,11020203
L22D,11020204
L23A,11020301
L23B,11020302
L23C,11020303
L23D,11020304
L30A,11030001
L30B,11030002
L30C,11030003
L30D,11030004
L40A,11040001
L40B,11040002
L50A,11050001
L50B,11050002
L60A,11060001
L60B,11060002
L70A,11070001
L70B,11070002
L70C,11070003
L70D,11070004
L70E,11070005
L70F,11070006
L70G,11070007
L81A,11080101
L81B,11080102
L81C,11080103
L81D,11080104
L82A,11080201
L82B,11080202
L82C,11080203
L82D,11080204
L82E,11080205
L82F,11080206
L82G,11080207
L82H,11080208
L82J,11080209
L90A,11090001
L90B,11090002
L90C,11090003
M10A,12010001
M10B,12010002
M10C,12010003
M10D,12010004
M20A,12020001
M20B,12020002
M30A,12030001
M30B,12030002
N11A,13010101
N11B,13010102
N12A,13010201
N12B,13010202
N12C,13010203
N13A,13010301
N13B,13010302
N13C,13010303
N14A,13010401
N14B,13010402
N14C,13010403
N14D,13010404
N21A,13020101
N21B,13020102
N21C,13020103
N21D,13020104
N22A,13020201
N22B,13020202
N22C,13020203
N22D,13020204
N22E,13020205
N23A,13020301
N23B,13020302
N24A,13020401
N24B,13020402
N24C,13020403
N24D,13020404
N30A,13030001
N30B,13030002
N30C,13030003
N40A,13040001
N40B,13040002
N40C,13040003
N40D,13040004
N40E,13040005
N40F,13040006
O99L,99999999
O99S,0
P10A,14010001
P10B,14010002
P10C,14010003
P10D,14010004
